iter	Passed	Remaining
684	11766	5410
685	11783	5393
686	11801	5376
687	11817	5359
688	11833	5341
689	11849	5323
690	11864	5305
691	11882	5288
692	11896	5270
693	11914	5253
694	11931	5235
695	11945	5217
696	11961	5199
697	11978	5182
698	11995	5165
699	12009	5146
700	12027	5130
701	12044	5112
702	12061	5095
703	12078	5078
704	12095	5061
705	12112	5043
706	12128	5026
707	12143	5008
708	12161	4991
709	12176	4973
710	12193	4956
711	12207	4937
712	12223	4920
713	12239	4902
714	12256	4885
715	12273	4868
716	12289	4850
717	12304	4832
718	12321	4815
719	12337	4798
720	12354	4780
721	12372	4763
722	12388	4746
723	12404	4728
724	12421	4711
725	12437	4694
726	12455	4677
727	12471	4659
728	12486	4641
729	12502	4624
730	12517	4606
731	12534	4589
732	12550	4571
733	12567	4554
734	12582	4536
735	12597	4518
736	12614	4501
737	12629	4483
738	12645	4466
739	12661	4448
740	12676	4430
741	12694	4413
742	12709	4396
743	12726	4378
744	12740	4360
745	12757	4343
746	12773	4326
747	12790	4309
748	12804	4290
749	12819	4273
750	12840	4257
751	12859	4240
752	12876	4223
753	12893	4206
754	12908	4188
755	12924	4171
756	12940	4154
757	12956	4136
758	12973	4119
759	12991	4102
760	13006	4084
761	13022	4067
762	13038	4049
763	13055	4032
764	13070	4014
765	13087	3997
766	13105	3981
767	13121	3963
768	13135	3945
769	13151	3928
770	13167	3910
771	13183	3893
772	13199	3876
773	13215	3858
774	13232	3841
775	13249	3824
776	13266	3807
777	13280	3789
778	13298	3772
779	13314	3755
780	13329	3737
781	13344	3720
782	13362	3703
783	13381	3686
784	13397	3669
785	13413	3651
786	13428	3634
787	13447	3617
788	13465	3601
789	13481	3583
790	13497	3566
791	13517	3549
792	13532	3532
793	13548	3515
794	13565	3498
795	13581	3480
796	13598	3463
797	13616	3446
798	13633	3429
799	13650	3412
800	13667	3395
801	13684	3378
802	13703	3361
803	13722	3345
804	13739	3328
805	13756	3311
806	13772	3293
807	13788	3276
808	13807	3259
809	13823	3242
810	13841	3225
811	13857	3208
812	13876	3191
813	13896	3175
814	13915	3158
815	13934	3141
816	13951	3125
817	13968	3107
818	13986	3090
819	14004	3074
820	14020	3056
821	14035	3039
822	14053	3022
823	14070	3005
824	14088	2988
825	14103	2970
826	14118	2953
827	14133	2936
828	14149	2918
829	14166	2901
830	14183	2884
831	14199	2867
832	14213	2849
833	14228	2832
834	14246	2815
835	14261	2797
836	14279	2780
837	14294	2763
838	14311	2746
839	14326	2728
