iter	TotalF1	MultiClass
457	0.5596906324	0.9210670355
458	0.5597918025	0.9209719936
459	0.5599901422	0.9208105582
460	0.5599142339	0.9206976926
461	0.5598736005	0.9205939962
462	0.5599814258	0.9204430877
463	0.5603739738	0.9201993631
464	0.5604074074	0.9200805369
465	0.5604952868	0.919950203
466	0.5605345534	0.9198564149
467	0.5605250255	0.9197333461
468	0.5607666032	0.9195968471
469	0.5607297514	0.9195364935
470	0.5609177588	0.9194733504
471	0.5609032997	0.9193976267
472	0.56098157	0.9192903933
473	0.5611337588	0.9191455154
474	0.5613714699	0.9189828315
475	0.5614187118	0.9188923387
476	0.5614961573	0.9187177541
477	0.5615550246	0.9186300639
478	0.5618413714	0.9185302623
479	0.5617356432	0.9184219084
480	0.5619971027	0.9182442761
481	0.5619947205	0.9181523502
482	0.5620235331	0.9180396637
483	0.5620942144	0.9179274975
484	0.5622651789	0.9178245991
485	0.5624849685	0.9176744622
486	0.5623392637	0.9175363687
487	0.5625967846	0.917362895
488	0.5627983771	0.9172032909
489	0.5628276753	0.9170647708
490	0.5631677019	0.9168851137
491	0.5632294679	0.9168193971
492	0.5632983998	0.9167632444
493	0.5633495161	0.9166832951
494	0.5632339183	0.9166099637
495	0.563376796	0.9165109994
496	0.5634535477	0.9163553732
497	0.5635497142	0.9162316322
498	0.5635816845	0.9161398245
499	0.5637210356	0.9160285792
500	0.5637642029	0.9159238352
501	0.5639895266	0.9157605212
502	0.5639032242	0.9156093461
503	0.5639502596	0.9154331251
504	0.5640959267	0.9152269228
505	0.5643002246	0.9151052837
506	0.5644420612	0.9149845722
507	0.5646887868	0.9148544089
508	0.56459114	0.9147792467
509	0.5646689215	0.9145651678
510	0.5647899244	0.9143705075
511	0.5649590563	0.914206807
512	0.5649708229	0.9140349315
513	0.565148773	0.9139295498
514	0.5653148979	0.9137933243
515	0.565494011	0.9136750524
516	0.5655310997	0.9135807037
517	0.5655506433	0.9134631141
518	0.5657659607	0.9133389887
519	0.5659281437	0.9132487271
520	0.5662057051	0.9130975604
521	0.5661653456	0.912945627
522	0.5662449486	0.912829704
523	0.5662440048	0.9127386394
524	0.5661878952	0.9125974919
